,备选点单个仓库地价（万元）,经度,纬度,备选点单个仓库建设成本（万元）,折现率,使用年限
0,12.636,119.3873,31.893595,42.54,0.8,50
1,14.742,119.385764,31.841555,42.54,0.8,50
2,12.636,119.374337,31.703045,42.54,0.8,50
3,14.742,119.492195,31.895281,42.54,0.8,50
4,12.636,119.53172,31.897366,42.54,0.8,50
5,16.848,119.592158,31.89614,42.54,0.8,50
6,14.742,119.617383,31.881239,42.54,0.8,50
7,14.742,119.648931,31.872347,42.54,0.8,50
8,16.848,119.681486,31.848671,42.54,0.8,50
9,14.742,119.456119,31.769747,42.54,0.8,50
10,16.848,119.457305,31.732317,42.54,0.8,50
11,16.848,119.477858,31.738459,42.54,0.8,50
12,16.848,119.495537,31.741438,42.54,0.8,50
13,18.954,119.518767,31.739196,42.54,0.8,50
14,23.166,119.66749,31.726144,42.54,0.8,50
15,21.06,119.69947,31.70925,42.54,0.8,50
16,23.166,119.687019,31.677066,42.54,0.8,50
17,21.06,119.599003,31.69667,42.54,0.8,50
18,21.06,119.632959,31.682321,42.54,0.8,50
19,25.272,119.657447,31.68862,42.54,0.8,50
20,21.06,119.685061,31.690832,42.54,0.8,50
21,21.06,119.649407,31.653601,42.54,0.8,50
